This file was created by using the 202605 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios,,
minus the average of the returns on two low prior return portfolios.  The portfolios,,
are constructed daily.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous day; small firms are below the median NYSE market cap.,,
Prior return is measured from day - 250 to - 21.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,Mom,
19300501,-1.11,
19300502,-0.22,
19300503,0.54,
19300505,2.47,
19300506,-1.01,
19300507,-0.73,
19300508,-1.78,
19300509,0.39,
19300510,-0.07,
19300512,-0.66,
19300513,0.13,
19300514,0.43,
19300515,0.12,
19300516,0.07,
19300517,-0.56,
19300519,0.25,
19300520,-0.16,
19300521,0.77,
19300522,0.91,
19300523,-1.03,
19300524,-0.79,
19300526,0.28,
19300527,0.69,
19300528,0.46,
19300529,0.18,
19300602,-0.61,
19300603,0.9,
19300604,0.3,
19300605,0.44,
19300606,0.67,
19300607,1.17,
19300609,1.54,
19300610,0.34,
19300611,0.74,
19300612,0.32,
19300613,0.46,
19300614,0.78,
19300616,2.86,
19300617,1.22,
19300618,1.75,
19300619,-1.2,
19300620,0.54,
19300621,0.64,
19300623,0.39,
19300624,0.77,
19300625,0.5,
19300626,-1.42,
19300627,0.44,
19300628,0.49,
19300630,-1.05,
19300701,0.19,
19300702,0.19,
19300703,-0.12,
19300707,1.17,
19300708,0.32,
19300709,-0.85,
19300710,-0.62,
19300711,0.4,
19300712,-0.53,
19300714,-1.98,
19300715,-0.2,
19300716,-0.78,
19300717,-0.66,
19300718,-1.42,
19300719,0.48,
19300721,2.5,
19300722,-0.89,
19300723,-0.47,
19300724,0.81,
19300725,0,
19300726,-0.38,
19300728,-0.28,
19300729,0.46,
19300730,1.7,
19300731,-0.32,
19300801,0.38,
19300802,-0.4,
19300804,-0.13,
19300805,0.12,
19300806,0.2,
19300807,0.56,
19300808,1.27,
19300809,0.21,
19300811,0.47,
19300812,0.88,
19300813,-0.07,
19300814,1.21,
19300815,-0.67,
19300816,-0.1,
19300818,0.64,
19300819,-0.63,
19300820,0.17,
19300821,0.02,
19300822,0.15,
19300823,-0.86,
19300825,0.51,
19300826,-0.08,
19300827,-0.14,
19300828,-0.09,
19300829,-0.48,
19300902,-0.62,
19300903,0.41,
19300904,0.42,
19300905,-1.05,
19300906,-0.77,
19300908,-0.55,
19300909,-0.11,
19300910,-0.45,
19300911,-0.14,
19300912,-0.01,
19300913,0.17,
19300915,0.18,
19300916,0.78,
19300917,0.25,
19300918,0.44,
19300919,-0.34,
19300920,0.68,
19300922,-0.43,
19300923,1.57,
19300924,1.14,
19300925,0.92,
19300926,0.77,
19300927,0.59,
19300929,1.44,
19300930,0.81,
19301001,-0.27,
19301002,0.22,
19301003,1.18,
19301004,-1.25,
19301006,-0.12,
19301007,1.04,
19301008,-0.73,
19301009,1.39,
19301010,2.07,
19301011,-2.19,
19301014,0.44,
19301015,-1.15,
19301016,-0.33,
19301017,0.24,
19301018,1.02,
19301020,-0.16,
19301021,0.75,
19301022,0.69,
19301023,-0.31,
19301024,-0.37,
19301025,0.53,
19301027,-0.27,
19301028,-0.76,
19301029,-0.53,
19301030,0.13,
19301031,1.35,
19301101,0.12,
19301103,-0.03,
19301105,1.44,
19301106,0.15,
19301107,1.73,
19301108,0.35,
19301110,0.73,
19301111,0.15,
19301112,-2.39,
19301113,-2.14,
19301114,-2.29,
19301115,-1.67,
19301117,1.96,
19301118,-0.41,
19301119,-1.19,
19301120,0.41,
19301121,-1.17,
19301122,1.13,
19301124,0.27,
19301125,0.17,
19301126,1.12,
19301128,0.87,
19301129,-0.11,
19301201,-0.44,
19301202,-0.59,
19301203,1.18,
19301204,2.16,
19301205,0.36,
19301206,0.81,
19301208,2.02,
19301209,0.93,
19301210,1.91,
19301211,1.07,
19301212,0.38,
19301213,1.18,
19301215,1.29,
19301216,3.16,
19301217,-2.07,
19301218,-1.39,
19301219,0.02,
19301220,-0.72,
19301222,2.12,
19301223,0.8,
19301224,-0.12,
19301226,0.38,
19301227,1.94,
19301229,2.28,
19301230,-3.03,
19301231,-3.1,
19310102,-4.75,
19310103,-2.4,
19310105,-0.44,
19310106,-2.58,
19310107,0.05,
19310108,-2.08,
19310109,0.1,
19310110,-0.35,
19310112,1.63,
19310113,1.99,
19310114,-0.67,
19310115,1.73,
19310116,-0.96,
19310117,0.75,
19310119,0.2,
19310120,-1.67,
19310121,-0.31,
19310122,-0.82,
19310123,-2.48,
19310124,0.12,
19310126,0.6,
19310127,-0.29,
19310128,1.96,
19310129,-1.01,
19310130,-1.19,
19310131,0.81,
19310202,-0.54,
19310203,-0.35,
19310204,0.03,
19310205,1.07,
19310206,-0.7,
19310207,-0.92,
19310209,-2.7,
19310210,-1.54,
19310211,-1.52,
19310213,-0.23,
19310214,0.47,
19310216,-1.71,
19310217,0.91,
19310218,-0.62,
19310219,-1.5,
19310220,-2.1,
19310221,-2.12,
19310224,-2.51,
19310225,1.52,
19310226,-0.98,
19310227,-0.3,
19310228,0.42,
19310302,2.41,
19310303,1.77,
19310304,1.16,
19310305,-1.26,
19310306,2.05,
19310307,-1.24,
19310309,0.63,
19310310,0.79,
19310311,0.09,
19310312,1.5,
19310313,-0.11,
19310314,-1.4,
19310316,-1.36,
19310317,0.58,
19310318,-0.16,
19310319,-1.34,
19310320,-0.54,
19310321,-0.04,
19310323,0.26,
19310324,0.16,
19310325,0.42,
19310326,0.78,
19310327,1.52,
19310328,1.47,
19310330,0.72,
19310331,0.42,
19310401,0.94,
19310402,0.73,
19310404,-0.37,
19310406,0.08,
19310407,0.74,
19310408,-0.02,
19310409,0.13,
19310410,0.22,
19310411,0.13,
19310413,-1.56,
19310414,1.34,
19310415,1.19,
19310416,0.15,
19310417,0.5,
