org_name,breach_date,cik,resolved_cik,resolution_source,resolution_category
"Freedom Financial Network, LLC",2019-12-01,713676,,,LOST_RESOLUTION
Freeport-McMoRan Inc.,2023-08-08,831259,,,LOST_RESOLUTION
Frontier Communications,2022-02-24,20520,,,LOST_RESOLUTION
"Frontier Communications Parent, Inc.",2023-12-18,20520,20520.0,SEC name: CITIZENS COMMUNICATIONS CO,CIK_UNCHANGED
"Frontier Communications Parent, Inc.",2024-04-13,20520,20520.0,SEC name: CITIZENS COMMUNICATIONS CO,CIK_UNCHANGED
"Frontier Communications Parent, Inc.",2024-04-14,20520,20520.0,SEC name: CITIZENS COMMUNICATIONS CO,CIK_UNCHANGED
"Frontier Communications Parent, Inc.",2024-06-10,20520,20520.0,SEC name: CITIZENS COMMUNICATIONS CO,CIK_UNCHANGED
"Frontier Communications Parent, Inc.",2024-06-12,20520,20520.0,SEC name: CITIZENS COMMUNICATIONS CO,CIK_UNCHANGED
Gallagher NAC,2017-06-01,354190,,,LOST_RESOLUTION
Gallagher NAC,2017-06-18,354190,,,LOST_RESOLUTION
Gates Corporation,2023-02-11,874761,,,LOST_RESOLUTION
Gates Corporation,2023-02-07,874761,,,LOST_RESOLUTION
GC Services,2023-09-11,1136893,,,LOST_RESOLUTION
General Dynamics Information Technology,2018-10-31,40533,,,LOST_RESOLUTION
"General Mills, Inc.",2022-11-18,40704,40704.0,SEC name: GENERAL MILLS INC,CIK_UNCHANGED
"Georgetown Capital Group, Inc.",2020-12-08,927628,,,LOST_RESOLUTION
"GIGAFLIGHT Connectivity, Inc.",2024-05-20,1385157,,,LOST_RESOLUTION
Global Payments Inc.,2012-07-25,1123360,1123360.0,SEC name: GLOBAL PAYMENTS INC,CIK_UNCHANGED
"Global Payments, Inc.",2012-06-22,1123360,1123360.0,SEC name: GLOBAL PAYMENTS INC,CIK_UNCHANGED
GoDaddy,2021-09-06,1609711,1609711.0,SEC name: GODADDY INC.,CIK_UNCHANGED
GoDaddy.com,2013-01-30,1609711,,,LOST_RESOLUTION
GoDaddy.com,2012-08-18,1609711,,,LOST_RESOLUTION
GoDaddy.com LLC,2019-10-19,1609711,,,LOST_RESOLUTION
GoDaddy.com LLC,2019-10-16,1609711,,,LOST_RESOLUTION
"GoDaddy.com, LLC",2021-09-06,1609711,,,LOST_RESOLUTION
"GoDaddy.com, LLC",2022-03-14,1609711,,,LOST_RESOLUTION
Google,2016-08-10,1652044,,,LOST_RESOLUTION
Google Inc.,2016-03-29,1652044,,,LOST_RESOLUTION
Google Inc.,2016-08-10,1652044,,,LOST_RESOLUTION
Google Inc.,2016-05-06,1652044,,,LOST_RESOLUTION
"Google, Inc.",2008-06-27,1652044,,,LOST_RESOLUTION
"Google, Inc.",2017-06-29,1652044,,,LOST_RESOLUTION
"Grand River Capital, LLC",2023-04-20,927628,,,LOST_RESOLUTION
