cik,org_name,breach_date,actual_car,synthetic_car,treatment_effect,n_donors,max_weight,hhi_weights
1166691,Comcast,2024-02-14,-2.723,-0.18718661902733247,-2.5358133809726673,523,0.06074444066750636,0.00938530412070458
1166691,Comcast,2023-10-16,-9.1027,-0.12097758572213962,-8.981722414277861,523,0.037862097219992945,0.0049575609112002565
1166691,Comcast Cable Communications LLC,2024-10-04,2.0194,-0.183950944508059,2.2033509445080592,523,0.023370090462014038,0.003723241640785843
1166691,Comcast Cable Communications LLC,2024-02-14,-2.723,-0.18718661902733247,-2.5358133809726673,523,0.06074444066750636,0.00938530412070458
1166691,Comcast Cable Communications LLC,2023-10-16,-9.1027,-0.12097758572213962,-8.981722414277861,523,0.037862097219992945,0.0049575609112002565
1166691,Comcast Cable Communications LLC,2024-01-26,-8.2549,-0.18718661902733247,-8.067713380972666,523,0.06074444066750636,0.00938530412070458
1166691,"Comcast Cable Communications, Inc.",2009-06-22,1.3985,0.46971425210600576,0.9287857478939943,523,0.01250809657486723,0.0033073841946723256
1166691,"Comcast Cable Communications, Inc.",2009-05-11,-9.5908,0.46971425210600576,-10.060514252106005,523,0.01250809657486723,0.0033073841946723256
732717,Cricket Wireless LLC,2018-08-21,0.7712,-0.058576565404949654,0.8297765654049496,523,0.01260883673482256,0.002775467261853704
732717,Cricket Wireless LLC,2018-08-17,-1.1855,-0.058576565404949654,-1.1269234345950503,523,0.01260883673482256,0.002775467261853704
1001082,DISH Network Corporation,2023-02-23,-39.3194,-0.034569102687890374,-39.28483089731211,523,0.010943896693428174,0.002820487325918087
1001082,DISH Network L.L.C.,2023-02-22,-40.6017,-0.034569102687890374,-40.56713089731211,523,0.010943896693428174,0.002820487325918087
1001082,"DISH Network, LLC",2023-05-17,-2.3845,-0.02443067212906458,-2.3600693278709355,523,0.013961340209761499,0.0027784283185712665
1001082,"DISH Network, LLC",2023-02-23,-39.3194,-0.034569102687890374,-39.28483089731211,523,0.010943896693428174,0.002820487325918087
1001082,"DISH Network, LLC",2023-02-22,-40.6017,-0.034569102687890374,-40.56713089731211,523,0.010943896693428174,0.002820487325918087
20520,Frontier Communications,2022-02-24,6.9442,-0.02039307231352172,6.964593072313522,523,0.0401632080922139,0.004290190321893345
20520,"Frontier Communications Parent, Inc.",2023-12-18,-2.7534,-0.08558050916321008,-2.66781949083679,523,0.006778716768100109,0.002332625253674024
