org_name,breach_date,reported_date,prc_status,survives_to_333,treated,event_breach_date,event_composition,primary_source,source_url,verification_date
Intuit Inc,2024-03-05 00:00:00,2024-12-20 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Lawrence Semiconductor Research Laboratory,2024-03-20 00:00:00,2025-03-07 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"Frontier Communications Parent, Inc.",2024-04-14 00:00:00,2024-06-05 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Bray International, Inc.",2024-04-17 00:00:00,2025-06-20 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
"Bray International, Inc.",2024-04-17 00:00:00,2025-06-20 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
SCM Group,2024-11-07 00:00:00,2025-01-16 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
Horizon Healthcare RCM,2024-12-26 00:00:00,2025-06-27 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
A.Y. McDonald Industries Inc.,2025-01-12 00:00:00,2025-02-12 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
Forum Communications Company,2025-01-14 00:00:00,2025-03-19 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Hewlett Packard Enterprise Company,2025-02-05 00:00:00,2025-02-05 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"Advanced Mobile Notary, LLC",2025-02-23 00:00:00,2025-05-20 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"National Presto Industries, Inc.",2025-03-01 00:00:00,2025-04-25 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"IES Communications, LLC",2025-03-07 00:00:00,2025-07-07 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
"King Industries, Inc.",2025-03-12 00:00:00,2025-07-21 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Nucor Corporation,2025-05-03 00:00:00,2025-06-27 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Nucor Corporation,2025-05-03 00:00:00,2025-06-30 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
"Dulany Industries, Inc.",2025-05-27 00:00:00,2025-09-25 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Martin Showers Smith & McDonald LLP,2025-05-29 00:00:00,2025-08-29 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Huntington Hospitality Financial Services Corp,2025-07-18 00:00:00,2025-07-31 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Workday Inc.,2025-08-06 00:00:00,2025-08-15 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Zscaler Inc.,2025-08-08 00:00:00,2025-08-31 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Huntwood Industries,2025-08-09 00:00:00,2025-09-26 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Huntwood Industries,2025-08-09 00:00:00,2025-09-26 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
"T.R.A. Industries, Inc.",2025-08-09 00:00:00,2025-09-26 00:00:00,AFTER PRC CUTOFF (2025-06-06) - vintage-explainable,NO,,,,,,
Carnival Corporation & PLC,2019-04,2020-03,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Freedom Financial Network, LLC",2019-12,2020-04-06 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Harrison, Mauro & Morgan, P.A.",2022-02,2022-05-31 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
