round,source_file,variant,sample,field,n,agreement,kappa,ref_Y,clf_Y,both_Y,clf_only_Y,ref_only_Y,precision,recall,ref_positives,clf_positives,tp,fp,fn,precision_ci95,recall_ci95,scoring,excluded_unclear,panel,stratum
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (A),40,0.85,0.6834,17.0,13.0,,,,0.9231,0.7059,,,12.0,1.0,5.0,"[0.640, 0.998]","[0.440, 0.897]",SENSITIVITY unclear->Y,0.0,stratified recall,control
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (B: restated->N vs new-only),38,0.9211,0.8328,15.0,14.0,,,,0.9286,0.8667,,,13.0,1.0,2.0,"[0.661, 0.998]","[0.595, 0.983]",PRIMARY (verified),2.0,stratified recall,treated
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (B: restated->N vs new-only),39,0.8974,0.7778,15.0,13.0,,,,0.9231,0.8,,,12.0,1.0,3.0,"[0.640, 0.998]","[0.519, 0.957]",PRIMARY (verified),1.0,stratified recall,control
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (B: restated->N vs new-only),40,0.875,0.7382,17.0,14.0,,,,0.9286,0.7647,,,13.0,1.0,4.0,"[0.661, 0.998]","[0.501, 0.932]",SENSITIVITY unclear->Y,0.0,stratified recall,treated
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (B: restated->N vs new-only),40,0.875,0.7312,16.0,13.0,,,,0.9231,0.75,,,12.0,1.0,4.0,"[0.640, 0.998]","[0.476, 0.927]",SENSITIVITY unclear->Y,0.0,stratified recall,control
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,CEO departure,39,0.8974,0.4429,4.0,4.0,,,,0.5,0.5,,,2.0,2.0,2.0,"[0.068, 0.932]","[0.068, 0.932]",PRIMARY (verified),1.0,stratified recall,treated
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,CEO departure,40,0.95,0.6396,3.0,3.0,,,,0.6667,0.6667,,,2.0,1.0,1.0,"[0.094, 0.992]","[0.094, 0.992]",PRIMARY (verified),0.0,stratified recall,control
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,CEO departure,39,0.8974,0.4429,4.0,4.0,,,,0.5,0.5,,,2.0,2.0,2.0,"[0.068, 0.932]","[0.068, 0.932]",SECONDARY (blind),1.0,stratified recall,treated
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,CEO departure,39,0.9744,0.7869,2.0,3.0,,,,0.6667,1.0,,,2.0,1.0,0.0,"[0.094, 0.992]","[0.158, 1.000]",SECONDARY (blind),1.0,stratified recall,control
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,CEO departure,40,0.875,0.375,5.0,4.0,,,,0.5,0.4,,,2.0,2.0,3.0,"[0.068, 0.932]","[0.053, 0.853]",SENSITIVITY unclear->Y,0.0,stratified recall,treated
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,CEO departure,40,0.95,0.6396,3.0,3.0,,,,0.6667,0.6667,,,2.0,1.0,1.0,"[0.094, 0.992]","[0.094, 0.992]",SENSITIVITY unclear->Y,0.0,stratified recall,control
