final_cik,breach_date,org_name,treated,gvkey,matched_ticker,firm_size_log,firm_size_log_tic,firm_size_log_v3,leverage,leverage_tic,leverage_v3,roa,roa_tic,roa_v3,op_margin,op_margin_tic,op_margin_v3
798354,2021-09-25,Fiserv,0,012635,,11.2202,,,0.5533,,,0.0128,,,0.3297,,
798354,2023-12-06,Fiserv,0,012635,,11.337,,,0.6222,,,0.0302,,,0.3767,,
2041610,2023-01-01,Paramount,0,013714,PARA,10.975,,,0.5957,,,0.0189,,,0.1086,,
2041610,2023-08-10,Paramount Global,0,013714,PARA,10.975,,,0.5957,,,0.0189,,,0.1086,,
815097,2020-12-25,Carnival Corporation,0,013498,CCL,10.8892,10.8892,10.8892,0.6165,0.6165,0.6165,-0.191,-0.191,-0.191,-0.4685,-0.4685,-0.4685
815097,2021-03-19,Carnival Corporation,0,013498,CCL,10.8892,10.8892,10.8892,0.6165,0.6165,0.6165,-0.191,-0.191,-0.191,-0.4685,-0.4685,-0.4685
823768,2021-01-21,"USA Waste-Management Resources, LLC",0,014477,WM,10.2869,10.2869,10.2869,0.746,0.746,0.746,0.051,0.051,0.051,0.2909,0.2909,0.2909
826083,2013-02-26,Dell Inc.,0,,,,,,,,,,,,,,
831259,2023-08-08,Freeport-McMoRan Inc.,0,014590,FCX,10.8414,10.8414,10.8414,0.5132,0.5132,0.5132,0.0679,0.0679,0.0679,0.4169,0.4169,0.4169
858877,2012-03-26,"Cisco Systems, Inc.",0,020779,CSCO,11.3748,11.3748,11.3748,0.4574,0.4574,0.4574,0.0745,0.0745,0.0745,0.248,0.248,0.248
858877,2012-04-13,"Cisco Systems, Inc.",0,020779,CSCO,11.3748,11.3748,11.3748,0.4574,0.4574,0.4574,0.0745,0.0745,0.0745,0.248,0.248,0.248
860731,2020-09-21,"Tyler Technologies, Inc.",0,010789,TYL,7.6924,7.6924,7.6924,0.2622,0.2622,0.2622,0.0669,0.0669,0.0669,0.2151,0.2151,0.2151
872589,2010-06-18,"Regeneron Pharmaceuticals, Inc.",0,023812,REGN,6.6083,6.6083,6.6083,0.4647,0.4647,0.4647,-0.0915,-0.0915,-0.0915,-0.1578,-0.1578,-0.1578
877890,2013-04-26,Citrix Systems Inc.,0,061676,,8.4756,,,0.3491,,,0.0735,,,0.2376,,
877890,2016-11-15,Citrix Systems,0,061676,,8.6091,,,0.64,,,0.0583,,,0.2574,,
877890,2018-10-13,"Citrix Systems, Inc.",0,061676,,8.6691,,,0.8295,,,-0.0036,,,0.2882,,
892553,2009-07-23,"Chart Industries, Inc.",0,025964,,6.8128,,,0.5542,,,0.0868,,,0.2066,,
896878,2008-05-26,"Intuit, Inc.",0,027928,INTU,8.3552,8.3552,8.3552,0.5211,0.5211,0.5211,0.1035,0.1035,0.1035,0.2914,0.2914,0.2914
896878,2008-09-24,Intuit,0,027928,INTU,8.4482,8.4482,8.4482,0.5543,0.5543,0.5543,0.1022,0.1022,0.1022,0.29,0.29,0.29
896878,2014-02-01,"Intuit, Inc.",0,027928,INTU,8.61,8.61,8.61,0.3564,0.3564,0.3564,0.1564,0.1564,0.1564,0.3512,0.3512,0.3512
896878,2014-04-01,Intuit Inc.,0,027928,INTU,8.61,8.61,8.61,0.3564,0.3564,0.3564,0.1564,0.1564,0.1564,0.3512,0.3512,0.3512
896878,2014-04-18,Intuit Inc.,0,027928,INTU,8.61,8.61,8.61,0.3564,0.3564,0.3564,0.1564,0.1564,0.1564,0.3512,0.3512,0.3512
896878,2015-04-07,Intuit,0,027928,INTU,8.5566,8.5566,8.5566,0.4082,0.4082,0.4082,0.1744,0.1744,0.1744,0.3353,0.3353,0.3353
896878,2015-04-14,Intuit,0,027928,INTU,8.5566,8.5566,8.5566,0.4082,0.4082,0.4082,0.1744,0.1744,0.1744,0.3353,0.3353,0.3353
