final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
789570,2019-07-07,MGM Resorts International,final_cik,789570.0,52.0,ok,2017-07-07,2020-03-02,,,
789570,2023-09-08,MGM Resorts International,final_cik,789570.0,36.0,ok,2021-09-08,2024-04-02,,,
790070,2014-01-07,EMC Corporation,final_cik,790070.0,28.0,ok,2012-01-08,2014-08-30,,,
796343,2013-09-11,Adobe Systems Incorporated,final_cik,796343.0,22.0,ok,2011-09-12,2014-04-01,,,
796343,2013-09-17,Adobe Systems Incorporated,final_cik,796343.0,22.0,ok,2011-09-18,2014-03-31,,,
796343,2019-10-19,Adobe Systems Incorporated,final_cik,796343.0,27.0,ok,2017-10-19,2020-04-16,,,
798354,2008-12-02,"Fiserv, Inc.",final_cik,798354.0,37.0,ok,2006-12-03,2009-06-10,,,
798354,2021-09-25,Fiserv,final_cik,798354.0,30.0,ok,2019-09-26,2022-03-24,,,
798354,2023-12-06,Fiserv,final_cik,798354.0,36.0,ok,2021-12-06,2024-06-03,,,
2041610,2023-01-01,Paramount,final_cik,2041610.0,0.0,ok,2021-01-01,2024-03-09,,,
2041610,2023-01-01,Paramount,orig_cik,813828.0,39.0,ok,2021-01-01,2024-03-09,,,
2041610,2023-01-01,Paramount,predecessor,,,predecessor_unresolved,2021-01-01,2024-03-09,Paramount,Paramount,not found in SEC name index
2041610,2023-08-10,Paramount Global,final_cik,2041610.0,0.0,ok,2021-08-10,2024-02-06,,,
2041610,2023-08-10,Paramount Global,orig_cik,813828.0,32.0,ok,2021-08-10,2024-02-06,,,
2041610,2023-08-10,Paramount Global,predecessor,,,predecessor_unresolved,2021-08-10,2024-02-06,Paramount,Paramount,not found in SEC name index
815097,2020-12-25,Carnival Corporation,final_cik,815097.0,75.0,ok,2018-12-26,2022-07-30,,,
815097,2021-03-19,Carnival Corporation,final_cik,815097.0,63.0,ok,2019-03-20,2021-11-21,,,
823768,2021-01-21,"USA Waste-Management Resources, LLC",final_cik,823768.0,37.0,ok,2019-01-22,2021-11-24,,,
826083,2013-02-26,Dell Inc.,final_cik,826083.0,35.0,ok,2011-02-27,2013-09-16,,,
831259,2023-08-08,Freeport-McMoRan Inc.,final_cik,831259.0,27.0,ok,2021-08-08,2024-03-06,,,
858877,2012-03-26,"Cisco Systems, Inc.",final_cik,858877.0,38.0,ok,2010-03-27,2012-10-06,,,
