outcome_cik,final_cik,org_name,breach_date,treated,accession,filing_date,form,items,primary_doc,on_disk,win_lo,win_hi,submissions_cached
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-07-041277,2007-05-18,8-K,"5.02,5.03,9.01",a07-14585_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-07-003960,2007-01-23,8-K,"5.02,5.03,9.01",a07-2312_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-06-080577,2006-12-11,8-K,"5.02,9.01",a06-25366_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-06-078068,2006-11-28,8-K/A,5.02,a06-24620_18ka.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-06-075980,2006-11-17,8-K,"5.02,5.03,9.01",a06-24249_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-06-062623,2006-09-22,8-K,"5.02,5.03,9.01",a06-20135_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-06-060568,2006-09-12,8-K,"5.02,5.03,8.01,9.01",a06-19530_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-06-036450,2006-05-22,8-K,"5.02,5.03,9.01",a06-12355_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-06-002894,2006-01-19,8-K/A,5.02,a06-2808_18ka.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-05-057353,2005-11-23,8-K,"1.01,5.02,5.03,9.01",a05-20651_18k.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0000047217-05-000167,2005-09-28,8-K,"1.01,5.02,5.03,9.01",form8-k_092705.htm,1,2005-07-01,2008-02-12,1
47217,47217,Hewlett Packard Company,2007-08-16,0,0001104659-08-004386,2008-01-24,8-K,"5.02,9.01",a08-3596_18k.htm,1,2005-08-16,2008-02-12,1
47217,47217,Hewlett Packard Company,2007-08-16,0,0001104659-07-041277,2007-05-18,8-K,"5.02,5.03,9.01",a07-14585_18k.htm,1,2005-08-16,2008-02-12,1
47217,47217,Hewlett Packard Company,2007-08-16,0,0001104659-07-003960,2007-01-23,8-K,"5.02,5.03,9.01",a07-2312_18k.htm,1,2005-08-16,2008-02-12,1
47217,47217,Hewlett Packard Company,2007-08-16,0,0001104659-06-080577,2006-12-11,8-K,"5.02,9.01",a06-25366_18k.htm,1,2005-08-16,2008-02-12,1
47217,47217,Hewlett Packard Company,2007-08-16,0,0001104659-06-078068,2006-11-28,8-K/A,5.02,a06-24620_18ka.htm,1,2005-08-16,2008-02-12,1
47217,47217,Hewlett Packard Company,2007-08-16,0,0001104659-06-075980,2006-11-17,8-K,"5.02,5.03,9.01",a06-24249_18k.htm,1,2005-08-16,2008-02-12,1
47217,47217,Hewlett Packard Company,2007-08-16,0,0001104659-06-062623,2006-09-22,8-K,"5.02,5.03,9.01",a06-20135_18k.htm,1,2005-08-16,2008-02-12,1
