phase,cik,breach_date,accession,status,path
documents,51143,2007-02-23,0001104659-07-007260,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-07-007260_a07-1990_78k.htm
documents,51143,2007-02-23,0001104659-07-005968,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-07-005968_a07-1990_58k.htm
documents,51143,2007-02-23,0001104659-06-004976,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-06-004976_a06-2706_38k.htm
documents,51143,2007-02-23,0001104659-05-045904,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-05-045904_a05-16528_18k.htm
documents,51143,2007-02-23,0001104659-05-014582,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-05-014582_a05-5804_28k.htm
documents,51143,2011-04-14,0001104659-11-003613,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-11-003613_a11-4392_28k.htm
documents,51143,2011-04-14,0001104659-10-061274,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-10-061274_a10-22284_18k.htm
documents,51143,2011-04-14,0001104659-10-003847,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-10-003847_a10-2611_18k.htm
documents,920760,2023-07-20,0001628280-23-032661,already_on_disk,Data\edgar\item5_02_text\920760\0001628280-23-032661_len-20230918.htm
documents,920760,2023-07-20,0001628280-23-027264,already_on_disk,Data\edgar\item5_02_text\920760\0001628280-23-027264_len-20230731.htm
documents,920760,2023-07-20,0001628280-23-024926,already_on_disk,Data\edgar\item5_02_text\920760\0001628280-23-024926_len-20230714.htm
documents,920760,2023-07-20,0001193125-23-061576,already_on_disk,Data\edgar\item5_02_text\920760\0001193125-23-061576_d444988d8k.htm
documents,920760,2023-07-20,0001193125-22-290031,already_on_disk,Data\edgar\item5_02_text\920760\0001193125-22-290031_d386121d8k.htm
documents,920760,2023-07-20,0001628280-22-009207,already_on_disk,Data\edgar\item5_02_text\920760\0001628280-22-009207_len-20220412.htm
