final_cik,breach_date,org_name,treated,orig_cik,link_basis,outcome_cik,outcome_rule,n_8k_final,n_8k_orig,n_8k_pred,predecessor_cik,predecessor_name,predecessor_term,predecessor_resolution,differs_from_final,win_lo,win_hi,unresolved_reason
732717,2023-03-01,"AT&T Services, Inc.",1,732717,direct,732717.0,final_cik,62,,,,,,,0,2021-03-01,2023-08-28,
732717,2024-03-17,AT&T Inc.,1,732717,direct,732717.0,final_cik,44,,,,,,,0,2022-03-18,2024-10-06,
732717,2024-03-26,AT&T Inc.,1,732717,direct,732717.0,final_cik,43,,,,,,,0,2022-03-27,2024-10-06,
732717,2024-04-09,AT&T Inc,1,732717,direct,732717.0,final_cik,42,,,,,,,0,2022-04-10,2024-10-06,
732717,2024-04-14,AT&T Inc.,1,732717,direct,732717.0,final_cik,42,,,,,,,0,2022-04-11,2024-10-11,
764180,2006-12-01,"Altria Group, Inc.",0,764180,direct,764180.0,final_cik,43,,,,,,,0,2004-12-01,2007-07-09,
771497,2018-01-08,ABM Industries Incorporated,0,771497,direct,771497.0,final_cik,45,,,,,,,0,2016-01-09,2019-09-08,
773840,2021-02-16,Honeywell International Inc.,0,773840,direct,773840.0,final_cik,41,,,,,,,0,2019-02-17,2021-10-30,
773840,2023-05-27,"Honeywell International, Inc.",0,773840,direct,773840.0,final_cik,42,,,,,,,0,2021-05-27,2024-03-11,
773840,2023-06-03,Honeywell International Inc.,0,773840,direct,773840.0,final_cik,42,,,,,,,0,2021-06-03,2024-03-16,
789019,2017-07-05,Microsoft Corporation,0,789019,direct,789019.0,final_cik,34,,,,,,,0,2015-07-06,2018-04-15,
789019,2019-12-05,Microsoft Corporation,0,789019,direct,789019.0,final_cik,24,,,,,,,0,2017-12-05,2020-07-20,
789019,2022-03-01,Microsoft Corporation,0,789019,direct,789019.0,final_cik,31,,,,,,,0,2020-03-01,2022-09-18,
789019,2022-09-24,Microsoft Corporation,0,789019,direct,789019.0,final_cik,23,,,,,,,0,2020-09-24,2023-04-17,
789019,2023-05-28,"Nuance Communications, Inc.",0,789019,direct,789019.0,final_cik,27,,,,,,,0,2021-05-28,2024-03-13,
789570,2019-07-07,MGM Resorts International,0,789570,direct,789570.0,final_cik,52,,,,,,,0,2017-07-07,2020-03-02,
789570,2023-09-08,MGM Resorts International,0,789570,direct,789570.0,final_cik,36,,,,,,,0,2021-09-08,2024-04-02,
790070,2014-01-07,EMC Corporation,0,790070,direct,790070.0,final_cik,28,,,,,,,0,2012-01-08,2014-08-30,
796343,2013-09-11,Adobe Systems Incorporated,0,796343,direct,796343.0,final_cik,22,,,,,,,0,2011-09-12,2014-04-01,
796343,2013-09-17,Adobe Systems Incorporated,0,796343,direct,796343.0,final_cik,22,,,,,,,0,2011-09-18,2014-03-31,
796343,2019-10-19,Adobe Systems Incorporated,0,796343,direct,796343.0,final_cik,27,,,,,,,0,2017-10-19,2020-04-16,
798354,2008-12-02,"Fiserv, Inc.",0,798354,direct,798354.0,final_cik,37,,,,,,,0,2006-12-03,2009-06-10,
798354,2021-09-25,Fiserv,0,798354,direct,798354.0,final_cik,30,,,,,,,0,2019-09-26,2022-03-24,
798354,2023-12-06,Fiserv,0,798354,direct,798354.0,final_cik,36,,,,,,,0,2021-12-06,2024-06-03,
2041610,2023-01-01,Paramount,0,813828,successor_filing,813828.0,orig_cik,0,39.0,,,Paramount,Paramount,not found in SEC name index,1,2021-01-01,2024-03-09,
2041610,2023-08-10,Paramount Global,0,813828,successor_filing,813828.0,orig_cik,0,32.0,,,Paramount,Paramount,not found in SEC name index,1,2021-08-10,2024-02-06,
815097,2020-12-25,Carnival Corporation,0,815097,direct,815097.0,final_cik,75,,,,,,,0,2018-12-26,2022-07-30,
815097,2021-03-19,Carnival Corporation,0,815097,direct,815097.0,final_cik,63,,,,,,,0,2019-03-20,2021-11-21,
823768,2021-01-21,"USA Waste-Management Resources, LLC",0,823768,direct,823768.0,final_cik,37,,,,,,,0,2019-01-22,2021-11-24,
826083,2013-02-26,Dell Inc.,0,826083,direct,826083.0,final_cik,35,,,,,,,0,2011-02-27,2013-09-16,
831259,2023-08-08,Freeport-McMoRan Inc.,0,831259,direct,831259.0,final_cik,27,,,,,,,0,2021-08-08,2024-03-06,
858877,2012-03-26,"Cisco Systems, Inc.",0,858877,direct,858877.0,final_cik,38,,,,,,,0,2010-03-27,2012-10-06,
858877,2012-04-13,"Cisco Systems, Inc.",0,858877,direct,858877.0,final_cik,38,,,,,,,0,2010-04-14,2012-10-10,
860731,2020-09-21,"Tyler Technologies, Inc.",0,860731,direct,860731.0,final_cik,23,,,,,,,0,2018-09-22,2021-07-17,
872589,2010-06-18,"Regeneron Pharmaceuticals, Inc.",0,872589,direct,872589.0,final_cik,28,,,,,,,0,2008-06-18,2011-01-22,
877890,2013-04-26,Citrix Systems Inc.,0,877890,direct,877890.0,final_cik,19,,,,,,,0,2011-04-27,2013-12-15,
877890,2016-11-15,Citrix Systems,0,877890,direct,877890.0,final_cik,34,,,,,,,0,2014-11-16,2017-06-04,
877890,2018-10-13,"Citrix Systems, Inc.",0,877890,direct,877890.0,final_cik,36,,,,,,,0,2016-10-13,2019-10-26,
892553,2009-07-23,"Chart Industries, Inc.",0,892553,direct,892553.0,final_cik,38,,,,,,,0,2007-07-24,2010-02-06,
896878,2008-05-26,"Intuit, Inc.",0,896878,direct,896878.0,final_cik,43,,,,,,,0,2006-05-27,2009-03-04,
896878,2008-09-24,Intuit,0,896878,direct,896878.0,final_cik,38,,,,,,,0,2006-09-25,2009-03-23,
896878,2014-02-01,"Intuit, Inc.",0,896878,direct,896878.0,final_cik,32,,,,,,,0,2012-02-02,2015-10-04,
896878,2014-04-01,Intuit Inc.,0,896878,direct,896878.0,final_cik,29,,,,,,,0,2012-04-01,2015-08-14,
896878,2014-04-18,Intuit Inc.,0,896878,direct,896878.0,final_cik,29,,,,,,,0,2012-04-18,2015-08-14,
896878,2015-04-07,Intuit,0,896878,direct,896878.0,final_cik,22,,,,,,,0,2013-04-07,2015-10-04,
896878,2015-04-14,Intuit,0,896878,direct,896878.0,final_cik,22,,,,,,,0,2013-04-14,2015-10-11,
896878,2015-05-20,Intuit,0,896878,direct,896878.0,final_cik,23,,,,,,,0,2013-05-20,2015-11-16,
896878,2015-09-18,Intuit Inc,0,896878,direct,896878.0,final_cik,20,,,,,,,0,2013-09-18,2016-04-24,
896878,2015-10-12,Intuit Inc,0,896878,direct,896878.0,final_cik,21,,,,,,,0,2013-10-12,2016-05-15,
