cik,car_30d,fcc_reportable,firm_size_log,leverage,roa,immediate_disclosure,prior_breaches_1yr,health_breach,n_breaches,org_name
1447669,-7.765150000000001,False,9.465336439730912,0.16032506047074316,-0.01499173385534485,1.0,0.0,0.0,2,Twilio
1501585,3.1122,False,8.918596729169716,0.7357673849628306,0.0112919920956055,0.0,0.0,0.0,1,"Huntington Ingalls Industries, Inc."
1510295,5.0728,False,10.49311890384648,0.6222209650958873,0.0138975316324414,0.0,0.0,0.0,1,Marathon Petroleum Company LP
1535527,-20.6563,False,11.17241976791305,0.6245560316194789,0.0062584176960341,1.0,0.0,0.0,1,CrowdStrike Holdings Inc.
1543151,5.06396,False,11.045403635008544,0.6752779680276046,0.008811465743516,0.6,0.6,0.0,5,Uber Technologies Inc
1553023,-3.7356,False,8.590380597264504,0.6456048200216283,-0.0141871363097996,0.0,0.0,0.0,1,"CyrusOne, Inc."
1564408,-13.8957,False,11.24052443361778,0.4970788075749578,0.0029921821115013,0.0,0.0,1.0,1,Snap Inc.
1571996,-2.7834,False,10.0437328563342,0.7749053428691628,0.0111485065208245,0.0,0.0,0.0,1,Dell Inc.
1590895,-12.8032,False,9.300185453480102,0.860595017623514,0.0274807336161061,0.0,0.0,0.0,1,"Caesars Entertainment, Inc."
1590955,12.6364,False,9.775294270811786,0.6853866280399337,0.0281250898830683,0.0,0.0,0.0,1,"Paycom Payroll, LLC"
1609711,-0.64648,False,9.482548251381797,0.9553676227443673,0.00983603077182436,0.0,1.0,0.0,5,GoDaddy
1632127,1.51295,True,8.628858475811471,0.6820586268040381,0.01625715975094465,0.5,1.0,0.0,2,"Cable One, Inc."
1633917,1.0587,False,11.655507780015991,0.7006867103627614,0.017203850159126698,0.0,0.0,0.0,2,PayPal Inc.
1639920,34.0505,False,10.02492502260554,0.5994827292442122,0.0001989920752628,0.0,0.0,0.0,1,Spotify USA Inc.
1640147,-13.8712,False,11.08730045536306,0.3688006505351873,-0.0205939574990001,0.5,0.5,0.0,2,Snowflake Inc.
1645590,-2.6936666666666667,False,10.294250352040038,0.6054587158996384,0.014616006641324467,0.6666666666666666,0.0,0.3333333333333333,3,Hewlett Packard Enterprise Company
1660134,-0.6318000000000006,False,9.380398222688182,0.34854248668642895,-0.0110036595413203,0.5,1.0,0.25,4,Okta Inc
1713683,-23.37475,False,9.424199978806998,0.6204018576318391,-0.0285045107139348,0.0,0.0,0.0,2,"CrowdStrike Holdings, Inc."
1744489,1.3922333333333334,False,11.659720499340404,0.4563152404110131,0.024828693300665065,0.3333333333333333,0.0,0.0,3,Disney Consumer Products and Interactive Media
1755336,-0.23504999999999932,False,9.349229567178222,0.42616336586637144,-0.01855920491119245,0.5,0.0,0.0,2,Time Warner Inc.
1755672,-2.2755,False,10.64387056658586,0.400699235064996,-0.0012905345159322,0.0,0.0,0.0,1,Corteva Agriscience
1841666,-2.1910000000000003,False,8.892794649150463,0.8825131347039786,-0.17131498014399557,0.0,0.0,0.3333333333333333,3,Dynapar Corporation
1932393,-1.66632,False,10.437823962054058,0.7476351574863789,0.01275774341046238,0.0,0.0,1.0,5,Change Healthcare Inc.
