accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0001104659-05-045904,51143,2005-09-27,8-K,"5.02,5.03",1,1,278,2005-09-26,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001104659-06-004976,51143,2006-01-31,8-K,5.02,1,1,576,2006-01-31;2006-03-01,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001104659-07-005968,51143,2007-01-31,8-K,5.02,1,1,643,,b,0,0,1,0,0,0,,,0,0,0,0,0,0,0,departure
0001104659-07-007260,51143,2007-02-05,8-K,5.02,1,1,2145,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001104659-07-049962,51143,2007-06-26,8-K,5.02,1,1,508,2007-06-26;2007-07-31,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001104659-07-057720,51143,2007-08-01,8-K,5.02,1,1,540,2007-06-26;2007-07-31,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001104659-10-003847,51143,2010-01-29,8-K,5.02,1,1,1345,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001104659-10-061274,51143,2010-12-06,8-K,5.02,1,1,600,,b,0,0,1,0,0,0,,2010-12-31,0,0,0,0,0,0,0,departure
0001104659-11-003613,51143,2011-01-28,8-K,5.02,1,1,1417,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-21-181330,73309,2021-06-03,8-K/A,"5.02,9.01",1,1,3115,2020-02-17;2021-06-03;2021-06-05,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001193125-21-244798,73309,2021-08-12,8-K,"5.02,9.01",1,1,1348,,d,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-22-050075,73309,2022-02-23,8-K,"5.02,9.01",1,1,2386,2022-02-21;2022-03-06;2022-06-11,"b,c",1,0,0,1,0,1,2022-02-21,2022-06-11,0,1,0,0,0,0,0,departure
