accession,sub_row,person,title,role_class,action,verb,sentence
0001193125-21-008667,1,Deval Patrick,director,director,election,elect,"Appointment of New Director On January 13, 2021, the Board of Directors (the “Board”) of Twilio Inc. (“Twilio”) appointed Deval Patrick to the Board as a Class III director."
0001193125-21-008667,2,Deval Patrick,director,director,election,elect,There is no arrangement or understanding between Mr. Patrick and any other persons pursuant to which Mr. Patrick was appointed as a director.
0001193125-21-049966,1,Karyn Smith,General Counsel,other_exec,departure,resign,"(b) On February 16, 2021, Karyn Smith, General Counsel of Twilio Inc. (the “ Company ”), informed the Company of her intent to resign from her position."
0001193125-21-091239,1,Deval Patrick,director,director,election,elect,"On January 13, 2021, the Board of Directors (the “Board”) of Twilio Inc. (“Twilio”) appointed Deval Patrick to the Board as a Class III director."
0001193125-21-091239,2,Deval Patrick,director,director,election,elect,"This Current Report on Form 8-K/A amends the Initial Form 8-K to disclose that on March 17, 2021, the Board of Twilio appointed Mr. Patrick to serve on the Compensation Committee of the Board effective April 1, 2021 to fill the vacancy created by Richard Dalzell’s resignation from the Compensation Committee effective April 1, 2021."
0001447669-21-000122,1,Chee Chew,Chief Product Officer,other_exec,departure,resign,"(b) On April 30, 2021, Chee Chew informed the Company of his intention to resign from his position as Chief Product Officer, effective May 17, 2021."
0001447669-21-000263,1,George Hu,Chief Operating Officer,COO,departure,resign,"(b) On October 25, 2021, George Hu informed the Company of his intention to resign from his position as Chief Operating Officer."
0001447669-21-000263,2,George Hu,Chief Operating Officer,COO,appointment,to serve as,"Mr. Hu agreed to serve as Chief Operating Officer until October 27, 2021, following which he will remain at the Company as a strategic advisor to help with the transition until January 3, 2022."
0001447669-21-000263,3,Khozema Shipchandler,Chief Operating Officer,COO,appointment,appointed,"(c) Effective October 27, 2021, Khozema Shipchandler, who has served as the Company’s Chief Financial Officer since November 1, 2018, has been appointed to the position of Chief Operating Officer."
0001447669-21-000296,1,Karyn Smith,General Counsel,other_exec,departure,resignation,"(b) On December 8, 2021, Karyn Smith, General Counsel of Twilio Inc. (the “ Company ”), informed the Company that her resignation from her position will be effective January 7, 2022."
0001447669-22-000094,1,Elena Donio,board of directors (the “Board,director,departure,resign,"(b) On April 28, 2022, Elena Donio, informed the Company of her intention to resign from the Company’s board of directors (the “Board”) and the Company’s Compensation and Talent Management Committee."
0001447669-22-000094,2,Elena Donio,board of directors,director,departure,resignation,"The Board accepted Ms. Donio’s resignation on April 29, 2022."
0001447669-22-000094,3,Elena Donio,board of directors,director,departure,resignation,"Ms. Donio’s resignation did not result from any disagreements with the Company on any matter relating to its operations, policies or practices."
0001447669-22-000094,4,Elena Donio,Board reduced the size of the Board,director,departure,resignation,"Effective as of the time of Ms. Donio’s resignation on April 29, 2022, the Board reduced the size of the Board to eight members."
