breach_date,reported_date,accession,filing_date,days_from_reported,items,items_7_01_8_01_1_05,incident_sentences,first_incident_passages
2021-08-26,2021-08-26,0001193125-21-258261,2021-08-27,1,7.01,1,18,"[d223733d8k.htm] On August 27, 2021, T-Mobile US, Inc. (“T-Mobile,” “we,” “our” or “us”) posted the following statement to its website: The Cyberattack Against T-Mobile and Our Customers: What happened, and what we are doing about it. || [d223733d8k.htm] By Mike Sievert CEO, T-Mobile The last two weeks have been humbling for all of us at T-Mobile as we have worked tirelessly to navigate a malicious cyberattack on our systems. || [d223733d8k.htm] On August 17 th we confirmed that T-Mobile’s systems were subject to a criminal cyberattack that compromised data of millions of our customers, former customers, and prospective customers. || [d223733d8k.htm] Fortunately, the breach did not expose any customer financial information, credit card information, debit or other payment information but, like so many breaches before, some SSN, name, address, date of birth and driver’s license/ID information was compromised."
2021-08-26,2021-08-26,0001193125-21-275230,2021-09-16,21,"5.02,7.01,9.01",1,0,
2022-11-25,2023-01-19,0001283699-23-000003,2023-01-04,-15,"7.01,9.01",1,0,
2022-11-25,2023-01-19,0001193125-23-010949,2023-01-19,0,8.01,1,11,"[d641142d8k.htm] On January 5, 2023, T-Mobile US, Inc. (the “Company,” “we,” or “our”) identified that a bad actor was obtaining data through a single Application Programming Interface (“API”) without authorization. || [d641142d8k.htm] We promptly commenced an investigation with external cybersecurity experts and within a day of learning of the malicious activity, we were able to trace the source of the malicious activity and stop it. || [d641142d8k.htm] Our investigation is still ongoing, but the malicious activity appears to be fully contained at this time, and there is currently no evidence that the bad actor was able to breach or compromise our systems or our network. || [d641142d8k.htm] The API abused by the bad actor does not provide access to any customer payment card information (PCI), social security numbers/tax IDs, driver’s license or other government ID numbers, passwords/PINs or other financial account information, so none of this information was exposed."
2022-11-25,2023-01-19,0001283699-23-000007,2023-02-01,13,"2.02,9.01",0,0,
2022-11-25,2023-01-19,0001193125-23-024130,2023-02-03,15,5.02,0,0,
2022-11-25,2023-01-19,0001140361-23-005527,2023-02-09,21,"8.01,9.01",1,0,
2022-11-25,2023-01-19,0001193125-23-035719,2023-02-13,25,5.02,0,0,
2023-02-01,2023-04-28,0001283699-23-000086,2023-04-27,-1,"2.02,9.01",0,0,
2023-02-01,2023-04-28,0001193125-23-128863,2023-05-01,3,"8.01,9.01",1,0,
2023-02-01,2023-04-28,0001193125-23-142123,2023-05-11,13,"8.01,9.01",1,0,
2023-02-24,2023-04-28,0001283699-23-000086,2023-04-27,-1,"2.02,9.01",0,0,
2023-02-24,2023-04-28,0001193125-23-128863,2023-05-01,3,"8.01,9.01",1,0,
2023-02-24,2023-04-28,0001193125-23-142123,2023-05-11,13,"8.01,9.01",1,0,
2023-04-28,2023-04-28,0001283699-23-000086,2023-04-27,-1,"2.02,9.01",0,0,
2023-04-28,2023-04-28,0001193125-23-128863,2023-05-01,3,"8.01,9.01",1,0,
2023-04-28,2023-04-28,0001193125-23-142123,2023-05-11,13,"8.01,9.01",1,0,
