cik,form,filing_date,items,accession,primary_doc,local_file,on_disk
62709,8-K,2012-09-04,"5.02,9.01",0000062709-12-000054,form8-k09x04x12.htm,Data\edgar\item5_02_text\62709\0000062709-12-000054_form8-k09x04x12.htm,1
62709,8-K,2012-09-21,"5.02,9.01",0000062709-12-000057,form8-k09x20x2012.htm,Data\edgar\item5_02_text\62709\0000062709-12-000057_form8-k09x20x2012.htm,1
62709,8-K/A,2012-09-24,5.02,0000062709-12-000059,form8-ka09x19x12.htm,Data\edgar\item5_02_text\62709\0000062709-12-000059_form8-ka09x19x12.htm,1
62709,8-K/A,2012-12-14,"5.02,9.01",0000062709-12-000066,form8-ka12x14x12.htm,Data\edgar\item5_02_text\62709\0000062709-12-000066_form8-ka12x14x12.htm,1
62709,8-K,2014-01-06,5.02,0000062709-14-000002,form8-kcarterresignation.htm,Data\edgar\item5_02_text\62709\0000062709-14-000002_form8-kcarterresignation.htm,1
68505,8-K,2007-02-15,"5.02,9.01",0000950137-07-002342,c12373e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-002342_c12373e8vk.htm,1
68505,8-K,2007-02-20,5.02,0000950137-07-002451,c12530e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-002451_c12530e8vk.htm,1
68505,8-K,2007-02-28,5.02,0000950137-07-002962,c12791e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-002962_c12791e8vk.htm,1
68505,8-K,2007-03-21,"5.02,7.01,8.01,9.01",0000950137-07-004160,c13521e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-004160_c13521e8vk.htm,1
68505,8-K/A,2007-03-27,"5.02,9.01",0000950137-07-004530,c13609ae8vkza.htm,Data\edgar\item5_02_text\68505\0000950137-07-004530_c13609ae8vkza.htm,1
68505,8-K,2007-04-10,5.02,0000950137-07-005362,c14070e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-005362_c14070e8vk.htm,1
68505,8-K,2007-05-14,"5.02,9.01",0000950137-07-007421,c15233e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-007421_c15233e8vk.htm,1
68505,8-K,2007-06-06,5.02,0000950137-07-008512,c15839e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-008512_c15839e8vk.htm,1
68505,8-K,2007-07-10,5.02,0000950137-07-009817,c16629e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-009817_c16629e8vk.htm,1
68505,8-K,2007-07-30,"5.02,9.01",0000950137-07-010759,c17175e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-010759_c17175e8vk.htm,1
68505,8-K,2007-09-19,"5.02,9.01",0000950137-07-014349,c18715e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-014349_c18715e8vk.htm,1
68505,8-K,2007-10-04,"5.02,9.01",0000950137-07-015106,c19135e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-07-015106_c19135e8vk.htm,1
68505,8-K,2007-11-30,"5.02,9.01",0000898822-07-001404,motorola8kbody.htm,Data\edgar\item5_02_text\68505\0000898822-07-001404_motorola8kbody.htm,1
68505,8-K,2008-02-05,5.02,0000950137-08-001640,c23537e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-08-001640_c23537e8vk.htm,1
68505,8-K,2008-02-27,"5.02,9.01",0000950137-08-002814,c24290e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-08-002814_c24290e8vk.htm,1
68505,8-K,2008-03-11,"5.02,9.01",0000950137-08-003512,c24742e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-08-003512_c24742e8vk.htm,1
68505,8-K,2008-03-20,5.02,0000950137-08-003967,c25011e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-08-003967_c25011e8vk.htm,1
68505,8-K,2008-04-02,"5.02,9.01",0000950137-08-004996,c25365e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-08-004996_c25365e8vk.htm,1
68505,8-K,2008-04-08,"5.02,8.01,9.01",0000898822-08-000394,motorola8k.htm,Data\edgar\item5_02_text\68505\0000898822-08-000394_motorola8k.htm,1
68505,8-K,2008-04-25,5.02,0000950137-08-006039,c25988e8vk.htm,Data\edgar\item5_02_text\68505\0000950137-08-006039_c25988e8vk.htm,1
