final_cik,breach_date,org_name,treated,outcome_cik,last_filing,status,t0_rd,censored_30_rd,days_uncovered_30_rd,censored_90_rd,days_uncovered_90_rd,censored_180_rd,days_uncovered_180_rd,never_covered_rd,t0_bd,censored_30_bd,days_uncovered_30_bd,censored_90_bd,days_uncovered_90_bd,censored_180_bd,days_uncovered_180_bd,never_covered_bd
732717,2024-03-17,AT&T Inc.,1,732717,2026-08-04,ok,2024-04-09,0,0,0,0,0,0,0,2024-03-17,0,0,0,0,0,0,0
732717,2024-03-26,AT&T Inc.,1,732717,2026-08-04,ok,2024-04-09,0,0,0,0,0,0,0,2024-03-26,0,0,0,0,0,0,0
732717,2024-04-09,AT&T Inc,1,732717,2026-08-04,ok,2024-04-09,0,0,0,0,0,0,0,2024-04-09,0,0,0,0,0,0,0
732717,2024-04-14,AT&T Inc.,1,732717,2026-08-04,ok,2024-04-10,0,0,0,0,0,0,0,2024-04-14,0,0,0,0,0,0,0
764180,2006-12-01,"Altria Group, Inc.",0,764180,2026-07-30,ok,2007-01-10,0,0,0,0,0,0,0,2006-12-01,0,0,0,0,0,0,0
771497,2018-01-08,ABM Industries Incorporated,0,771497,2026-07-17,ok,2019-03-12,0,0,0,0,0,0,0,2018-01-08,0,0,0,0,0,0,0
773840,2021-02-16,Honeywell International Inc.,0,773840,2026-08-03,ok,2021-05-03,0,0,0,0,0,0,0,2021-02-16,0,0,0,0,0,0,0
773840,2023-05-27,"Honeywell International, Inc.",0,773840,2026-08-03,ok,2023-09-13,0,0,0,0,0,0,0,2023-05-27,0,0,0,0,0,0,0
773840,2023-06-03,Honeywell International Inc.,0,773840,2026-08-03,ok,2023-09-18,0,0,0,0,0,0,0,2023-06-03,0,0,0,0,0,0,0
789019,2017-07-05,Microsoft Corporation,0,789019,2026-07-29,ok,2017-10-17,0,0,0,0,0,0,0,2017-07-05,0,0,0,0,0,0,0
789019,2019-12-05,Microsoft Corporation,0,789019,2026-07-29,ok,2020-01-22,0,0,0,0,0,0,0,2019-12-05,0,0,0,0,0,0,0
789019,2022-03-01,Microsoft Corporation,0,789019,2026-07-29,ok,2022-03-22,0,0,0,0,0,0,0,2022-03-01,0,0,0,0,0,0,0
789019,2022-09-24,Microsoft Corporation,0,789019,2026-07-29,ok,2022-10-19,0,0,0,0,0,0,0,2022-09-24,0,0,0,0,0,0,0
789019,2023-05-28,"Nuance Communications, Inc.",0,789019,2026-07-29,ok,2023-09-15,0,0,0,0,0,0,0,2023-05-28,0,0,0,0,0,0,0
789570,2019-07-07,MGM Resorts International,0,789570,2026-07-29,ok,2019-09-04,0,0,0,0,0,0,0,2019-07-07,0,0,0,0,0,0,0
789570,2023-09-08,MGM Resorts International,0,789570,2026-07-29,ok,2023-10-05,0,0,0,0,0,0,0,2023-09-08,0,0,0,0,0,0,0
790070,2014-01-07,EMC Corporation,0,790070,2026-06-15,ok,2014-03-03,0,0,0,0,0,0,0,2014-01-07,0,0,0,0,0,0,0
796343,2013-09-11,Adobe Systems Incorporated,0,796343,2026-07-31,ok,2013-10-03,0,0,0,0,0,0,0,2013-09-11,0,0,0,0,0,0,0
796343,2013-09-17,Adobe Systems Incorporated,0,796343,2026-07-31,ok,2013-10-02,0,0,0,0,0,0,0,2013-09-17,0,0,0,0,0,0,0
796343,2019-10-19,Adobe Systems Incorporated,0,796343,2026-07-31,ok,2019-10-19,0,0,0,0,0,0,0,2019-10-19,0,0,0,0,0,0,0
798354,2008-12-02,"Fiserv, Inc.",0,798354,2026-08-03,ok,2008-12-12,0,0,0,0,0,0,0,2008-12-02,0,0,0,0,0,0,0
798354,2021-09-25,Fiserv,0,798354,2026-08-03,ok,2021-09-25,0,0,0,0,0,0,0,2021-09-25,0,0,0,0,0,0,0
798354,2023-12-06,Fiserv,0,798354,2026-08-03,ok,2023-12-06,0,0,0,0,0,0,0,2023-12-06,0,0,0,0,0,0,0
2041610,2023-01-01,Paramount,0,813828,2026-07-31,ok,2023-09-11,0,0,0,0,0,0,0,2023-01-01,0,0,0,0,0,0,0
2041610,2023-08-10,Paramount Global,0,813828,2026-07-31,ok,2023-08-10,0,0,0,0,0,0,0,2023-08-10,0,0,0,0,0,0,0
815097,2020-12-25,Carnival Corporation,0,815097,2026-07-27,ok,2022-01-31,0,0,0,0,0,0,0,2020-12-25,0,0,0,0,0,0,0
815097,2021-03-19,Carnival Corporation,0,815097,2026-07-27,ok,2021-05-25,0,0,0,0,0,0,0,2021-03-19,0,0,0,0,0,0,0
823768,2021-01-21,"USA Waste-Management Resources, LLC",0,823768,2026-07-31,ok,2021-05-28,0,0,0,0,0,0,0,2021-01-21,0,0,0,0,0,0,0
