window,final_cik,name,treated_cluster,n_events,coef_without,share,sign_flip
90,47217,Hewlett-Packard Company,0,5,-0.0451,0.0063,0
90,51143,IBM,0,2,-0.0411,0.0009,0
90,51434,International Paper Company,0,1,-0.0389,0.0,0
90,62709,"Marsh & McLennan Companies, Inc.",0,1,-0.0396,0.0001,0
90,68505,"Motorola, Inc.",0,2,-0.0425,0.0022,0
90,73309,Nucor Corporation,0,1,-0.0393,0.0,0
90,73756,"Oceaneering International, Inc.",0,1,-0.0388,0.0,0
90,75362,PACCAR,0,1,-0.0396,0.0001,0
90,76334,Parker-Hannifin Corporation,0,1,-0.0401,0.0003,0
90,77476,"PepsiCo, Inc.",0,1,-0.04,0.0002,0
90,78003,Pfizer Inc,0,1,-0.0326,0.0059,0
90,91419,The J.M. Smucker Company,0,1,-0.039,0.0,0
90,91440,Snap-on Incorporated,0,1,-0.038,0.0001,0
90,92380,Southwest Airlines Co.,0,2,-0.0408,0.0007,0
90,96021,Sysco Corporation,0,1,-0.04,0.0003,0
90,101830,Sprint Nextel,1,12,-0.0405,0.0005,0
90,277135,"W.W. Grainger, Inc.",0,2,-0.0393,0.0,0
90,315293,Aon Corporation,0,3,-0.0346,0.0027,0
90,318154,Amgen Inc.,0,2,-0.0427,0.0024,0
90,319687,United Airlines,0,1,-0.04,0.0003,0
90,320193,Apple Inc.,0,7,-0.0412,0.0009,0
90,354190,Gallagher NAC,0,2,-0.0396,0.0001,0
90,354950,The Home Depot,0,1,-0.0398,0.0002,0
90,708818,"NextGen Healthcare, Inc.",0,1,-0.0383,0.0,0
90,718877,"Activision Publishing, Inc.",0,2,-0.0392,0.0,0
90,723254,Cintas Corporation,0,1,-0.0384,0.0,0
90,728535,"J.B. Hunt Transport, Inc.",0,2,-0.0391,0.0,0
90,731766,Change Healthcare Inc.,0,1,-0.0402,0.0003,0
90,732712,Verizon,1,11,-0.0453,0.0066,0
90,732717,AT&T,1,26,-0.0193,0.0588,0
90,764180,"Altria Group, Inc.",0,1,-0.0398,0.0002,0
90,771497,ABM Industries Incorporated,0,1,-0.039,0.0,0
90,773840,Honeywell International Inc.,0,3,-0.0391,0.0,0
90,789019,Microsoft Corporation,0,5,-0.0464,0.0091,0
90,789570,MGM Resorts International,0,2,-0.042,0.0017,0
90,790070,EMC Corporation,0,1,-0.0395,0.0001,0
90,796343,Adobe Systems Incorporated,0,3,-0.0394,0.0001,0
90,798354,"Fiserv, Inc.",0,3,-0.0341,0.0034,0
90,815097,Carnival Corporation,0,2,-0.0398,0.0002,0
