final_cik,breach_date,treated,outcome_cik,accession,filing_date,win_lo,win_hi
47217,2010-02-09,0,47217,0000047217-09-000032,2009-09-17,2008-02-10,2010-08-08
47217,2010-02-09,0,47217,0000047217-09-000003,2009-01-20,2008-02-10,2010-08-08
47217,2010-02-09,0,47217,0001104659-08-060212,2008-09-24,2008-02-10,2010-08-08
47217,2010-02-09,0,47217,0001104659-08-055465,2008-08-27,2008-02-10,2010-08-08
47217,2010-02-09,0,47217,0000047217-08-000117,2008-05-20,2008-02-10,2010-08-08
51143,2007-02-23,0,51143,0001104659-07-057720,2007-08-01,2005-02-23,2007-10-23
51143,2007-02-23,0,51143,0001104659-07-049962,2007-06-26,2005-02-23,2007-10-23
51143,2007-02-23,0,51143,0001104659-07-007260,2007-02-05,2005-02-23,2007-10-23
51143,2007-02-23,0,51143,0001104659-07-005968,2007-01-31,2005-02-23,2007-10-23
51143,2007-02-23,0,51143,0001104659-06-004976,2006-01-31,2005-02-23,2007-10-23
51143,2007-02-23,0,51143,0001104659-05-045904,2005-09-27,2005-02-23,2007-10-23
51143,2007-02-23,0,51143,0001104659-05-014582,2005-04-01,2005-02-23,2007-10-23
51143,2011-04-14,0,51143,0001104659-11-003613,2011-01-28,2009-04-14,2011-10-11
51143,2011-04-14,0,51143,0001104659-10-061274,2010-12-06,2009-04-14,2011-10-11
51143,2011-04-14,0,51143,0001104659-10-003847,2010-01-29,2009-04-14,2011-10-11
920760,2023-07-20,0,920760,0001628280-23-032661,2023-09-20,2021-07-20,2024-04-07
920760,2023-07-20,0,920760,0001628280-23-027264,2023-08-03,2021-07-20,2024-04-07
920760,2023-07-20,0,920760,0001628280-23-024926,2023-07-14,2021-07-20,2024-04-07
920760,2023-07-20,0,920760,0001193125-23-061576,2023-03-06,2021-07-20,2024-04-07
920760,2023-07-20,0,920760,0001193125-22-290031,2022-11-21,2021-07-20,2024-04-07
920760,2023-07-20,0,920760,0001628280-22-009207,2022-04-14,2021-07-20,2024-04-07
920760,2023-07-20,0,920760,0001628280-22-008548,2022-04-06,2021-07-20,2024-04-07
920760,2023-07-20,0,920760,0001193125-22-066148,2022-03-04,2021-07-20,2024-04-07
62709,2013-06-01,0,62709,0000062709-14-000002,2014-01-06,2011-06-02,2014-05-25
62709,2013-06-01,0,62709,0000062709-12-000066,2012-12-14,2011-06-02,2014-05-25
62709,2013-06-01,0,62709,0000062709-12-000059,2012-09-24,2011-06-02,2014-05-25
62709,2013-06-01,0,62709,0000062709-12-000057,2012-09-21,2011-06-02,2014-05-25
62709,2013-06-01,0,62709,0000062709-12-000054,2012-09-04,2011-06-02,2014-05-25
62709,2013-06-01,0,62709,0000062709-12-000018,2012-03-05,2011-06-02,2014-05-25
62709,2013-06-01,0,62709,0000062709-12-000007,2012-01-18,2011-06-02,2014-05-25
62709,2013-06-01,0,62709,0000062709-11-000027,2011-10-07,2011-06-02,2014-05-25
68505,2009-01-01,0,68505,0000950137-09-004049,2009-05-22,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-09-002505,2009-04-01,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-09-002115,2009-03-23,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950152-09-000904,2009-02-03,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-09-000352,2009-01-21,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950123-08-017856,2008-12-18,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-014456,2008-12-17,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-011276,2008-08-29,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000898822-08-000839,2008-08-04,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-009960,2008-07-31,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-006039,2008-04-25,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000898822-08-000394,2008-04-08,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-004996,2008-04-02,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-003967,2008-03-20,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-003512,2008-03-11,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-002814,2008-02-27,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-08-001640,2008-02-05,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000898822-07-001404,2007-11-30,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-015106,2007-10-04,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-014349,2007-09-19,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-010759,2007-07-30,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-009817,2007-07-10,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-008512,2007-06-06,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-007421,2007-05-14,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-005362,2007-04-10,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-004530,2007-03-27,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-004160,2007-03-21,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-002962,2007-02-28,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-002451,2007-02-20,2007-01-02,2009-08-05
68505,2009-01-01,0,68505,0000950137-07-002342,2007-02-15,2007-01-02,2009-08-05
68505,2009-02-17,0,68505,0000950137-09-004049,2009-05-22,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-09-002505,2009-04-01,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-09-002115,2009-03-23,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950152-09-000904,2009-02-03,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-09-000352,2009-01-21,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950123-08-017856,2008-12-18,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-014456,2008-12-17,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-011276,2008-08-29,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000898822-08-000839,2008-08-04,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-009960,2008-07-31,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-006039,2008-04-25,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000898822-08-000394,2008-04-08,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-004996,2008-04-02,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-003967,2008-03-20,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-003512,2008-03-11,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-002814,2008-02-27,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-08-001640,2008-02-05,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000898822-07-001404,2007-11-30,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-015106,2007-10-04,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-014349,2007-09-19,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-010759,2007-07-30,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-009817,2007-07-10,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-008512,2007-06-06,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-007421,2007-05-14,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-005362,2007-04-10,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-004530,2007-03-27,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-004160,2007-03-21,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-002962,2007-02-28,2007-02-18,2009-08-16
68505,2009-02-17,0,68505,0000950137-07-002451,2007-02-20,2007-02-18,2009-08-16
1133421,2016-04-18,0,1133421,0001133421-17-000040,2017-09-27,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-17-000014,2017-02-28,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-17-000011,2017-02-22,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-16-000113,2016-12-09,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-16-000072,2016-03-17,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-16-000069,2016-02-22,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-15-000050,2015-10-15,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-15-000018,2015-03-20,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-15-000016,2015-02-20,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-15-000013,2015-02-19,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-15-000011,2015-02-03,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-14-000061,2014-12-08,2014-04-19,2017-10-16
1133421,2016-04-18,0,1133421,0001133421-14-000058,2014-11-05,2014-04-19,2017-10-16
73309,2023-05-26,0,73309,0001193125-23-296305,2023-12-15,2021-05-26,2023-12-25
73309,2023-05-26,0,73309,0001193125-23-206313,2023-08-08,2021-05-26,2023-12-25
73309,2023-05-26,0,73309,0001193125-22-215713,2022-08-09,2021-05-26,2023-12-25
73309,2023-05-26,0,73309,0001193125-22-159808,2022-05-25,2021-05-26,2023-12-25
73309,2023-05-26,0,73309,0001193125-22-066230,2022-03-04,2021-05-26,2023-12-25
73309,2023-05-26,0,73309,0001193125-22-050075,2022-02-23,2021-05-26,2023-12-25
73309,2023-05-26,0,73309,0001193125-21-244798,2021-08-12,2021-05-26,2023-12-25
73309,2023-05-26,0,73309,0001193125-21-181330,2021-06-03,2021-05-26,2023-12-25
73756,2024-01-01,0,73756,0000073756-24-000014,2024-02-27,2022-01-01,2024-08-28
73756,2024-01-01,0,73756,0000073756-23-000140,2023-11-17,2022-01-01,2024-08-28
73756,2024-01-01,0,73756,0000073756-23-000095,2023-07-10,2022-01-01,2024-08-28
73756,2024-01-01,0,73756,0000073756-23-000012,2023-02-27,2022-01-01,2024-08-28
73756,2024-01-01,0,73756,0000073756-22-000108,2022-10-21,2022-01-01,2024-08-28
73756,2024-01-01,0,73756,0000073756-22-000106,2022-09-16,2022-01-01,2024-08-28
