cik,breach_date,executive_change_30d,executive_change_90d,executive_change_180d,num_item5_02_filings_180d,days_to_first_item_5_02
896878,2016-04-14,1.0,1.0,1.0,1.0,25.0
896878,2016-03-22,0.0,1.0,1.0,1.0,48.0
896878,2016-03-23,0.0,1.0,1.0,1.0,47.0
896878,2016-04-29,1.0,1.0,1.0,1.0,10.0
896878,2016-04-06,0.0,1.0,1.0,1.0,33.0
896878,2016-05-02,1.0,1.0,1.0,1.0,7.0
896878,2016-05-27,0.0,0.0,0.0,0.0,
896878,2016-05-17,0.0,0.0,0.0,0.0,
896878,2016-04-01,0.0,1.0,1.0,1.0,38.0
896878,2016-06-09,0.0,0.0,0.0,0.0,
896878,2016-06-01,0.0,0.0,0.0,0.0,
896878,2016-08-03,0.0,0.0,0.0,0.0,
896878,2016-08-22,0.0,0.0,0.0,0.0,
896878,2016-09-12,0.0,0.0,0.0,0.0,
896878,2016-09-26,0.0,0.0,0.0,0.0,
896878,2016-03-29,0.0,1.0,1.0,1.0,41.0
896878,2016-10-18,0.0,0.0,0.0,0.0,
896878,2016-10-30,0.0,0.0,0.0,0.0,
896878,2016-10-23,0.0,0.0,0.0,0.0,
896878,2016-12-05,0.0,0.0,0.0,0.0,
896878,2016-11-22,0.0,0.0,0.0,0.0,
896878,2016-12-13,0.0,0.0,0.0,0.0,
896878,2017-01-12,0.0,0.0,0.0,0.0,
896878,2017-01-27,0.0,0.0,1.0,1.0,175.0
896878,2017-02-13,0.0,0.0,1.0,1.0,158.0
896878,2017-01-30,0.0,0.0,1.0,1.0,172.0
896878,2017-03-02,0.0,0.0,1.0,2.0,141.0
896878,2017-02-20,0.0,0.0,1.0,1.0,151.0
896878,2017-02-28,0.0,0.0,1.0,2.0,143.0
896878,2017-03-12,0.0,0.0,1.0,2.0,131.0
896878,2017-04-04,0.0,0.0,1.0,2.0,108.0
896878,2017-04-02,0.0,0.0,1.0,2.0,110.0
896878,2017-04-17,0.0,0.0,1.0,2.0,95.0
896878,2017-04-30,0.0,1.0,1.0,3.0,82.0
896878,2017-02-28,0.0,0.0,1.0,2.0,143.0
896878,2017-01-01,0.0,0.0,0.0,0.0,
896878,2017-04-19,0.0,0.0,1.0,2.0,93.0
896878,2017-06-14,0.0,1.0,1.0,3.0,37.0
896878,2017-06-01,0.0,1.0,1.0,3.0,50.0
896878,2017-08-01,1.0,1.0,1.0,3.0,21.0
896878,2017-08-08,1.0,1.0,1.0,3.0,14.0
896878,2017-07-30,1.0,1.0,1.0,3.0,23.0
896878,2017-08-16,1.0,1.0,1.0,3.0,6.0
896878,2017-08-25,0.0,1.0,1.0,2.0,55.0
896878,2017-09-01,0.0,1.0,1.0,2.0,48.0
896878,2017-10-17,1.0,1.0,1.0,2.0,2.0
896878,2018-02-06,0.0,0.0,1.0,1.0,105.0
896878,2018-03-14,0.0,1.0,1.0,2.0,69.0
896878,2018-04-26,1.0,1.0,1.0,2.0,26.0
